label,doi,title,year,venue,cited,abstract
minimum sample size vibration,10.1016/j.eswa.2010.06.068,Minimum sample size determination of vibration signals in machine learning approach to fault diagnosis using power analysis,2010.0,Expert systems with applications,24.0,
minimum sample size brake,10.1016/j.jestch.2014.09.007,Determination of minimum sample size for fault diagnosis of automobile hydraulic brake system using power analysis,2015.0,,29.0,"Abstract Hydraulic brake in automobile engineering is considered to be one of the important components. Condition monitoring and fault diagnosis of such a component is very essential for safety of passengers, vehicles and to minimize the unexpected maintenance time. Vibration based machine learning approach for condition monitoring of hydraulic brake system is gaining momentum. Training and testing the classifier are two important activities in the process of feature classification. This study proposes a systematic statistical method called power analysis to find the minimum number of samples required to train the classifier with statistical stability so as to get good classification accuracy. Descriptive statistical features have been used and the more contributing features have been selected by using C4.5 decision tree algorithm. The results of power analysis have also been verified using a decision tree algorithm namely, C4.5."
Wu Keogh flawed benchmarks,10.1109/TKDE.2021.3112126,Current Time Series Anomaly Detection Benchmarks are Flawed and are Creating the Illusion of Progress,2020.0,IEEE Transactions on Knowledge and Data Engineering,342.0,"Time series anomaly detection has been a perennially important topic in data science, with papers dating back to the 1950s. However, in recent years there has been an explosion of interest in this topic, much of it driven by the success of deep learning in other domains and for other time series tasks. Most of these papers test on one or more of a handful of popular benchmark datasets, created by Yahoo, Numenta, NASA, etc. In this work we make a surprising claim. The majority of the individual exemplars in these datasets suffer from one or more of four flaws. Because of these four flaws, we believe that many published comparisons of anomaly detection algorithms may be unreliable, and more importantly, much of the apparent progress in recent years may be illusionary. In addition to demonstrating these claims, with this paper we introduce the UCR Time Series Anomaly Archive. We believe that this resource will perform a similar role as the UCR Time Series Classification Archive, by providing the community with a benchmark that allows meaningful comparisons between approaches and a meaningful gauge of overall progress."
CV pitfalls,10.1186/1758-2946-6-10,Cross-validation pitfalls when selecting and assessing regression and classification models,2014.0,Journal of Cheminformatics,992.0,"BackgroundWe address the problem of selecting and assessing classification and regression models using cross-validation. Current state-of-the-art methods can yield models with high variance, rendering them unsuitable for a number of practical applications including QSAR. In this paper we describe and evaluate best practices which improve reliability and increase confidence in selected models. A key operational component of the proposed methods is cloud computing which enables routine use of previously infeasible approaches.MethodsWe describe in detail an algorithm for repeated grid-search V-fold cross-validation for parameter tuning in classification and regression, and we define a repeated nested cross-validation algorithm for model assessment. As regards variable selection and parameter tuning we define two algorithms (repeated grid-search cross-validation and double cross-validation), and provide arguments for using the repeated grid-search in the general case.ResultsWe show results of our algorithms on seven QSAR datasets. The variation of the prediction performance, which is the result of choosing different splits of the dataset in V-fold cross-validation, needs to be taken into account when selecting and assessing classification and regression models.ConclusionsWe demonstrate the importance of repeating cross-validation when selecting an optimal model, as well as the importance of repeating nested cross-validation when assessing a prediction error."
robust framework eval unsupervised,10.1007/978-3-031-78395-1_4,A Robust Framework for Evaluation of Unsupervised Time-Series Anomaly Detection,2024.0,International Conference on Pattern Recognition,12.0,
taxonomy eval metrics TSAD,10.1016/j.neucom.2026.134547,,,,,
UCR anomaly archive guidelines,10.1016/j.iswa.2026.200717,Evaluating univariate time series anomaly detection: Results and practical guidelines from the UCR Anomaly Archive,2026.0,Intelligent Systems with Applications,0.0,
PATE proximity aware,10.1145/3637528.3671971,PATE: Proximity-Aware Time Series Anomaly Evaluation,2024.0,Knowledge Discovery and Data Mining,27.0,"Evaluating anomaly detection algorithms in time series data is critical as inaccuracies can lead to flawed decision-making in various domains where real-time analytics and data-driven strategies are essential. Traditional performance metrics assume iid data and fail to capture the complex temporal dynamics and specific characteristics of time series anomalies, such as early and delayed detections. We introduce Proximity-Aware Time series anomaly Evaluation (PATE), a novel evaluation metric that incorporates the temporal relationship between prediction and anomaly intervals. PATE uses proximity-based weighting considering buffer zones around anomaly intervals, enabling a more detailed and informed assessment of a detection. Using these weights, PATE computes a weighted version of the area under the Precision and Recall curve. Our experiments with synthetic and real-world datasets show the superiority of PATE in providing more sensible and accurate evaluations than other evaluation metrics. We also tested several state-of-the-art anomaly detectors across various benchmark datasets using the PATE evaluation scheme. The results show that a common metric like Point-Adjusted F1 Score fails to characterize the detection performances well, and that PATE is able to provide a more fair model comparison. By introducing PATE, we redefine the understanding of model efficacy that steers future studies toward developing more effective and accurate detection models."
Multivariate Time Series Anomaly Detecti,,,,,,
The Elephant in the Room: Towards A Reli,,,,,,
Current Time Series Anomaly Detection Be,,,,,,
