claim,query,title,authors,venue,date,cited_by,doi,eid,type,abstract
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Multimodal Sensor Data Fusion for Hydraulic Piston Pump Fault Diagnosis Using a Spectrographic Residual Attention Network,Ogaili A.A.F.,Results in Engineering,2026-12-01,2,10.1016/j.rineng.2026.111655,2-s2.0-105044476182,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Disentangle-and-aggregate feature learning (DAFNet) for motor bearing fault diagnosis,Tang J.,Scientific Reports,2026-12-01,0,10.1038/s41598-025-34490-6,2-s2.0-105029593895,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Rolling element bearing fault diagnosis based on modified Pufferfish optimization assisted efficient customized convolutional neural network with IMI-EMD,Pandiyan M.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-50930-3,2-s2.0-105042341194,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))","Multi attribute predictions of volume of shale and porosity from seismic data over Akaso Field, Niger Delta using machine learning regression analysis",Ejaita E.,Discover Geoscience,2026-12-01,1,10.1007/s44288-026-00457-x,2-s2.0-105048044730,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Explainable machine learning for predicting preterm birth and associated factors in Sub Saharan Africa,Tewelgne M.F.,Discover Artificial Intelligence,2026-12-01,0,10.1007/s44163-026-02092-4,2-s2.0-105049163229,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))","Compressive strength perpendicular to the grain of cross-laminated timber: Experimental, theoretical, and machine learning analyses",Li H.,Engineering Applications of Artificial Intelligence,2026-10-15,0,10.1016/j.engappai.2026.116104,2-s2.0-105048839811,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Process-mineralogy-contextualized VNIR–SWIR chemometric modelling for grade-interval recognition of powdered molybdenite flotation products,Meng L.,Chemometrics and Intelligent Laboratory Systems,2026-10-15,0,10.1016/j.chemolab.2026.105818,2-s2.0-105046425952,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Enhanced physics-informed gated recurrent unit neural networks for nonlinear friction characteristics of friction pendulum bearings,Xian Z.,Structural and Multidisciplinary Optimization,2026-09-01,0,10.1007/s00158-026-04403-w,2-s2.0-105049148681,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))","Predictive Maintenance in Logistics Fleets: A Comparative Evaluation of Random Forest, XGBoost, and Logistic Regression Using Operational and Technical Indicators",Grzelak M.,Logistics,2026-08-01,0,10.3390/logistics10080183,2-s2.0-105048598317,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Multiscale recursive mode decomposition: theory and application,Li H.,Measurement Science and Technology,2026-08-01,0,10.1088/1361-6501/ae93ee,2-s2.0-105047792668,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",End-to-End Deep Learning Pipeline for Multi-Sensor Aircraft Engine Vibration Fault Diagnosis,Xie Y.,Aerospace,2026-07-01,0,10.3390/aerospace13070591,2-s2.0-105045818213,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Hybrid graph neural network with FFT and genetic optimization for fault detection in wind turbines,Coronel D.,Neurocomputing,2026-07-01,0,10.1016/j.neucom.2026.133352,2-s2.0-105035022652,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Intelligent defense industry-based predictive maintenance framework: Digital Twin perspective,Aljumah A.,Measurement Journal of the International Measurement Confederation,2026-06-02,0,10.1016/j.measurement.2026.121436,2-s2.0-105035472283,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",IoT-Driven Robust Bearing Fault Diagnosis for Induction Motors Under Operating-Condition Shift,Kaya Ş.M.,Sensors,2026-06-01,0,10.3390/s26123829,2-s2.0-105043215455,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Bearing Remaining Useful Life Estimation Using Proximal Policy Optimization (PPO): Validation on the XJTU-SY Run-to-Failure Dataset,Kumar S.,Machines,2026-06-01,0,10.3390/machines14060672,2-s2.0-105043006329,Article,
A1_train_test_split_fd,"TITLE-ABS-KEY((""train-test split"" OR ""data split"" OR ""splitting strategy"" OR ""random split"" OR ""split variability"") AND (""fault diagnosis"" OR ""condition monitoring"" OR ""bearing"" OR ""predictive maintenance""))",Behavioral Fault Diagnosis in Inverter-Driven PMSM Systems Using a Hybrid CNN–BiLSTM–Attention Deep Learning Framework with SHAP-Based Interpretability,Yılmaz Ü.,Machines,2026-06-01,1,10.3390/machines14060638,2-s2.0-105043003655,Article,
