query,title,authors,venue,date,cited_by,doi,abstract,label
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",Multi-Feature Relational Modeling and Conditional-Memory-Augmented Anomaly Detection for Multi-Cylinder Diesel Engines Under Variable Operating Conditions,Gao Y.,Machines,2026-08-01,0,10.3390/machines14080914,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",Distributed Acoustic Sensor for Real-Time Fault Detection in Belt Conveyors: A Signal Processing Approach,Luo Y.,IEEE Sensors Journal,2026-08-01,0,10.1109/JSEN.2026.3701460,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",Abnormal Current Gradient Anomaly Detection of Improved TCN-BiGRU Hybrid Algorithm with Attention Mechanism,Li Z.,Journal of Electrical Engineering and Technology,2026-07-01,0,10.1007/s42835-026-02659-2,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",LSTM Autoencoder-Based Real-Time Anomaly Detection for Univariate Hydraulic Turbine Time-Series Data,Atsafack B.M.,IEEE Sensors Journal,2026-07-01,0,10.1109/JSEN.2026.3698747,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",Sensor Data Quality Scoring for MEMS Accelerometers via Spectral Anomaly Detection,Ruhland T.,IEEE Sensors Letters,2026-07-01,0,10.1109/LSENS.2026.3696864,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",Abnormal Behavior Detection Model Based on Fusion of RFID Identification and MEMS Vibration Sensor Signal,Chen X.,Engineering Reports,2026-07-01,0,10.1002/eng2.70956,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",Acoustic detection of internal leakage in hydropower auxiliary valves using a self-supervised dual-path Transformer with adaptive thresholding,Han C.,Experimental Technology and Management,2026-07-01,0,10.16791/j.cnki.sjg.2026.07.012,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",Anomaly detection for wind turbines based on graph representation learning with causal relationship infomax embedding,Liu X.,Measurement Journal of the International Measurement Confederation,2026-06-16,1,10.1016/j.measurement.2026.121644,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",Time-Domain Feature-Based Anomaly Detection of Extreme Vibration Events for Cross-River Bridge Piers,Fu D.,Buildings,2026-06-01,0,10.3390/buildings16112107,,S1 误报与振动异常检测
"TITLE-ABS-KEY(""false alarm"" AND ""vibration"" AND (""anomaly detection"" OR ""novelty detection""))",ARC-Informer: Axial–Radial Coupling-Aware Informer for Wind Turbine Main Bearing Health Monitoring,Xie Z.,Applied Sciences Switzerland,2026-06-01,0,10.3390/app16115578,,S1 误报与振动异常检测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Multi-mode degradation assessment and vibro-acoustic monitoring of harmonic drive for aerospace applications,Liu Z.,Reliability Engineering and System Safety,2026-12-01,1,10.1016/j.ress.2026.112925,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Kurtosis-guided Duffing for weak signal detection,Lou H.,Journal on Advances in Signal Processing,2026-12-01,0,10.1186/s13634-025-01279-8,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Mechanical energy harvesting in rotating systems: A novel integration of triboelectric nanogenerators with optimized blade dynamics,Guo Y.,Journal of Mechanical Science and Technology,2026-08-01,0,10.1007/s12206-026-0723-x,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Two-stage dual-domain clustering fusion model for serviceability assessment in flywheel bearings,Wang J.,Journal of Mechanical Science and Technology,2026-08-01,0,10.1007/s12206-026-0704-0,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Design of an Underwater Acoustic Target-Detection System for Buoy Platforms,Lyu Y.,Journal of Marine Science and Engineering,2026-08-01,0,10.3390/jmse14161519,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Motor-Current-Based Bearing Fault Detection Under Unseen Operating Conditions,Cekic Y.,Energies,2026-08-01,0,10.3390/en19163884,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Advanced Bearing Condition Monitoring for Energy Production Machinery via Koopman Dynamics,Sabani E.,Eng,2026-07-01,0,10.3390/eng7070345,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Intelligent Railway Wagon Health Assessment Using IoT Sensors and Predictive Analytics for Safety-Critical Applications,Mysore Gangadhara S.K.,Iot,2026-06-01,0,10.3390/iot7020032,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",One Class Fault Detection in Rotating Machinery Using Distributional Features from Triggered Acoustic Emission Data,Angelopoulos N.,Electronics Switzerland,2026-05-01,0,10.3390/electronics15102105,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""false alarm rate"" OR ""nuisance alarm"") AND (""wind turbine"" OR ""rotating machinery"" OR ""bearing"") AND (""condition monitoring"" OR ""monitoring""))",Spatio-Temporal Joint Network for Coupler Anomaly Detection Under Complex Working Conditions Utilizing Multi-Source Sensors,Zhao Z.,Sensors,2026-05-01,1,10.3390/s26092661,,S2 误报率与旋转机械监测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",A condition-supervised contrastive autoencoder with dynamic temperature scaling for anomaly detection under multi-condition imbalanced data,Xu H.,Expert Systems with Applications,2026-06-25,0,10.1016/j.eswa.2026.131990,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",Research on ironmaking process parameter identification and reactor performance prediction methods based on industrial big data,Huang Y.,Proceedings of SPIE the International Society for Optical Engineering,2026-04-24,0,10.1117/12.3112141,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",Noise-Conditioned Adversarial Diffusion Denoising Implicit Model (NCA-DDIM) for Data Augmentation in Engineering Applications,Yangue E.,IEEE Transactions on Automation Science and Engineering,2026-01-01,1,10.1109/TASE.2025.3641161,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",Pixel-level semantic parsing in complex industrial scenarios using large vision-language models,Ji X.,Information Fusion,2025-04-01,13,10.1016/j.inffus.2024.102794,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",Bearing remaining life prediction method based on ARAD -ELN and multi-stage wiener process,Wang Y.,Measurement Science and Technology,2025-01-31,10,10.1088/1361-6501/ad7eee,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",Blockchain-Enabled Anomaly Detection in Industrial CPS Healthcare Systems: A Comparative Security and Accuracy Evaluation of Pattern-Proof Malware Validation VS. Homomorphic Encryption,Sakthivel V.,Proceedings of 2025 10th International Conference on Science Technology Engineering and Mathematics Iconstem 2025,2025-01-01,0,10.1109/ICONSTEM65670.2025.11374307,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",An Efficient Multi-stage Pipeline for IIoT Threat Detection,Silva E.D.J.,2025 IEEE Latin American Conference on Communications Latincom 2025,2025-01-01,0,10.1109/LATINCOM67778.2025.11345403,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",Research on the Intelligent Warning Model of Nuclear Sensors Based on PCA Reconstruction - Time Series,Li F.,2025 5th International Conference on Energy Power and Electrical Engineering Epee 2025,2025-01-01,0,10.1109/EPEE67527.2025.11428563,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",Performance Evaluation of Supervised Learning Model Based on Functional Data Analysis and Summary Statistics,Ju Y.,IEEE Transactions on Semiconductor Manufacturing,2025-01-01,3,10.1109/TSM.2024.3452947,,S3 样本量与异常检测
"TITLE-ABS-KEY((""sample size"" OR ""number of recordings"" OR ""training set size"") AND (""anomaly detection"" OR ""novelty detection"") AND (""vibration"" OR ""bearing"" OR ""machinery"" OR ""industrial""))",Skip-patching spatial–temporal discrepancy-based anomaly detection on multivariate time series,Xu Y.,Neurocomputing,2024-12-07,8,10.1016/j.neucom.2024.128428,,S3 样本量与异常检测
"TITLE-ABS-KEY((""single split"" OR ""single train-test"" OR ""one split"") AND (""evaluation"" OR ""benchmark"" OR ""comparison""))",Integrating transformers to outperform classical and deep learning in ChatGPT-in-education sentiment analysis with an explainable web app,Ahmed S.,Discover Artificial Intelligence,2026-12-01,1,10.1007/s44163-026-01277-1,,S4 单一划分与比较
"TITLE-ABS-KEY((""single split"" OR ""single train-test"" OR ""one split"") AND (""evaluation"" OR ""benchmark"" OR ""comparison""))",Protein and ligand novelty in drug–target interaction prediction: a dual-encoder fusion strategy for more interpretable and generalizable modeling,Abou-Abbas L.,BMC Bioinformatics,2026-12-01,0,10.1186/s12859-026-06457-5,,S4 单一划分与比较
"TITLE-ABS-KEY((""single split"" OR ""single train-test"" OR ""one split"") AND (""evaluation"" OR ""benchmark"" OR ""comparison""))",Cadmium-associated cognitive impairment in adults: Proteomics-guided blood-based risk stratification with external validation and rat multimodal corroboration,Gao H.,Environmental Pollution,2026-11-15,0,10.1016/j.envpol.2026.129015,,S4 单一划分与比较
"TITLE-ABS-KEY((""single split"" OR ""single train-test"" OR ""one split"") AND (""evaluation"" OR ""benchmark"" OR ""comparison""))",The Deployability Deficit in Machine Learning for CO₂–Brine Interfacial Tension: A Systematic Review and Validation Framework for Geological Carbon Storage,Olagunju D.T.,Carbon Capture Science and Technology,2026-09-01,0,10.1016/j.ccst.2026.100665,,S4 单一划分与比较
"TITLE-ABS-KEY((""single split"" OR ""single train-test"" OR ""one split"") AND (""evaluation"" OR ""benchmark"" OR ""comparison""))",Source Bias in Fact-Check-Derived Fake News Corpora: A Debiasing Protocol and Baselines for Kazakh–Russian News,Telman D.,Algorithms,2026-08-01,0,10.3390/a19080657,,S4 单一划分与比较
"TITLE-ABS-KEY((""single split"" OR ""single train-test"" OR ""one split"") AND (""evaluation"" OR ""benchmark"" OR ""comparison""))",EnhancedTinyCNN: A lightweight embedded AI framework for Real-Time pest detection in smart farming,Dahmani F.N.,Smart Agricultural Technology,2026-08-01,0,10.1016/j.atech.2026.102352,,S4 单一划分与比较
