claim,total_hits,fetched
A1_train_test_split_fd,81,25
A2_split_effect_accuracy,ERROR,0
A3_repeated_resampling_variance,232,25
A4_benchmark_variance_ml,577,25
B1_hyperparameter_instability_ad,368,25
B2_small_sample_anomaly,776,25
B3_small_sample_bearing,957,25
B4_statistical_power_cm,65,25
C1_false_alarm_normal_only,3265,25
C2_oneclass_vs_simple,66,25
C3_normal_only_training,179,25
D1_tsad_evaluation_critique,22,22
D2_tsad_point_adjust,11,11
E1_leakage_fd,733,25
E2_reproducibility_cm,11908,25
E3_negative_results_ml,2948,25
F1_reliability_of_conclusions,735,25
F2_evaluation_protocol_cm,83,25
