hypothesis,dz,n_normal_files,power,power_ci_low,power_ci_high
H1_geometry,0.549,3,0.087,0.079,0.095
H1_geometry,0.549,5,0.163,0.152,0.173
H1_geometry,0.549,8,0.267,0.255,0.279
H1_geometry,0.549,10,0.343,0.33,0.356
H1_geometry,0.549,12,0.412,0.398,0.425
H1_geometry,0.549,15,0.509,0.495,0.523
H1_geometry,0.549,20,0.638,0.625,0.652
H1_geometry,0.549,25,0.737,0.724,0.749
H1_geometry,0.549,30,0.821,0.81,0.831
H1_geometry,0.549,40,0.916,0.908,0.923
H1_geometry,0.549,50,0.967,0.962,0.972
H1_geometry,0.549,80,0.998,0.997,0.999
H2_regularization,1.014,3,0.18,0.17,0.191
H2_regularization,1.014,5,0.417,0.403,0.431
H2_regularization,1.014,8,0.693,0.68,0.706
H2_regularization,1.014,10,0.811,0.8,0.822
H2_regularization,1.014,12,0.89,0.882,0.899
H2_regularization,1.014,15,0.951,0.945,0.957
H2_regularization,1.014,20,0.99,0.987,0.992
H2_regularization,1.014,25,0.999,0.998,1.0
H2_regularization,1.014,30,1.0,1.0,1.0
H2_regularization,1.014,40,1.0,1.0,1.0
H2_regularization,1.014,50,1.0,1.0,1.0
H2_regularization,1.014,80,1.0,1.0,1.0
