method,parameter,threshold,accuracy,precision,recall,f1,fpr,fnr,tp,fp,fn,tn
A: 3-sigma RMS,k=2,0.9017,0.9762,0.9688,1.0,0.9841,0.0909,0.0,31,1,0,10
A: 3-sigma RMS,k=2.5,0.9065,1.0,1.0,1.0,1.0,0.0,0.0,31,0,0,11
A: 3-sigma RMS,k=3,0.9113,1.0,1.0,1.0,1.0,0.0,0.0,31,0,0,11
A: 3-sigma RMS,k=3.5,0.9162,1.0,1.0,1.0,1.0,0.0,0.0,31,0,0,11
A: 3-sigma RMS,k=4,0.921,1.0,1.0,1.0,1.0,0.0,0.0,31,0,0,11
B: Mahalanobis,q=0.9,2.5948,0.7857,0.775,1.0,0.8732,0.8182,0.0,31,9,0,2
B: Mahalanobis,q=0.95,2.8001,0.7857,0.775,1.0,0.8732,0.8182,0.0,31,9,0,2
B: Mahalanobis,q=0.99,2.8845,0.7857,0.775,1.0,0.8732,0.8182,0.0,31,9,0,2
B: Mahalanobis,q=0.995,2.8943,0.7857,0.775,1.0,0.8732,0.8182,0.0,31,9,0,2
B: Mahalanobis,q=0.999,2.9022,0.7857,0.775,1.0,0.8732,0.8182,0.0,31,9,0,2
