file,condition,n_windows,pair,r
baseline_1.mat,normal,11,rms|crest_factor,0.095
baseline_1.mat,normal,11,rms|kurtosis,-0.438
baseline_1.mat,normal,11,rms|centroid_hz,-0.646
baseline_1.mat,normal,11,crest_factor|kurtosis,0.159
baseline_1.mat,normal,11,crest_factor|centroid_hz,-0.167
baseline_1.mat,normal,11,kurtosis|centroid_hz,0.709
baseline_2.mat,normal,11,rms|crest_factor,-0.142
baseline_2.mat,normal,11,rms|kurtosis,0.12
baseline_2.mat,normal,11,rms|centroid_hz,-0.988
baseline_2.mat,normal,11,crest_factor|kurtosis,0.325
baseline_2.mat,normal,11,crest_factor|centroid_hz,0.128
baseline_2.mat,normal,11,kurtosis|centroid_hz,-0.077
baseline_3.mat,normal,11,rms|crest_factor,-0.569
baseline_3.mat,normal,11,rms|kurtosis,0.511
baseline_3.mat,normal,11,rms|centroid_hz,-0.984
baseline_3.mat,normal,11,crest_factor|kurtosis,-0.171
baseline_3.mat,normal,11,crest_factor|centroid_hz,0.624
baseline_3.mat,normal,11,kurtosis|centroid_hz,-0.401
OuterRaceFault_3.mat,outer_race_fault,11,rms|crest_factor,0.252
OuterRaceFault_3.mat,outer_race_fault,11,rms|kurtosis,0.161
OuterRaceFault_3.mat,outer_race_fault,11,rms|centroid_hz,-0.489
OuterRaceFault_3.mat,outer_race_fault,11,crest_factor|kurtosis,0.284
OuterRaceFault_3.mat,outer_race_fault,11,crest_factor|centroid_hz,-0.113
OuterRaceFault_3.mat,outer_race_fault,11,kurtosis|centroid_hz,-0.557
OuterRaceFault_vload_6.mat,outer_race_fault,5,rms|crest_factor,-0.035
OuterRaceFault_vload_6.mat,outer_race_fault,5,rms|kurtosis,0.516
OuterRaceFault_vload_6.mat,outer_race_fault,5,rms|centroid_hz,-0.32
OuterRaceFault_vload_6.mat,outer_race_fault,5,crest_factor|kurtosis,0.363
OuterRaceFault_vload_6.mat,outer_race_fault,5,crest_factor|centroid_hz,0.146
OuterRaceFault_vload_6.mat,outer_race_fault,5,kurtosis|centroid_hz,0.111
OuterRaceFault_vload_7.mat,outer_race_fault,5,rms|crest_factor,-0.637
OuterRaceFault_vload_7.mat,outer_race_fault,5,rms|kurtosis,-0.136
OuterRaceFault_vload_7.mat,outer_race_fault,5,rms|centroid_hz,0.99
OuterRaceFault_vload_7.mat,outer_race_fault,5,crest_factor|kurtosis,0.732
OuterRaceFault_vload_7.mat,outer_race_fault,5,crest_factor|centroid_hz,-0.703
OuterRaceFault_vload_7.mat,outer_race_fault,5,kurtosis|centroid_hz,-0.268
InnerRaceFault_vload_6.mat,inner_race_fault,5,rms|crest_factor,-0.998
InnerRaceFault_vload_6.mat,inner_race_fault,5,rms|kurtosis,-0.288
InnerRaceFault_vload_6.mat,inner_race_fault,5,rms|centroid_hz,0.438
InnerRaceFault_vload_6.mat,inner_race_fault,5,crest_factor|kurtosis,0.306
InnerRaceFault_vload_6.mat,inner_race_fault,5,crest_factor|centroid_hz,-0.432
InnerRaceFault_vload_6.mat,inner_race_fault,5,kurtosis|centroid_hz,-0.901
InnerRaceFault_vload_7.mat,inner_race_fault,5,rms|crest_factor,-0.63
InnerRaceFault_vload_7.mat,inner_race_fault,5,rms|kurtosis,-0.636
InnerRaceFault_vload_7.mat,inner_race_fault,5,rms|centroid_hz,-0.599
InnerRaceFault_vload_7.mat,inner_race_fault,5,crest_factor|kurtosis,0.977
InnerRaceFault_vload_7.mat,inner_race_fault,5,crest_factor|centroid_hz,0.735
InnerRaceFault_vload_7.mat,inner_race_fault,5,kurtosis|centroid_hz,0.668
