feature_set,n_features,condition_number,threshold,threshold_cv,fp,tn,tp,fn,precision,recall,f1,fpr,normal_distance_median,normal_distance_max,fault_distance_median,inflation_ratio
RMS only,1,1.0,2.02961919890424,0.03175239138252286,1,10,31,0,0.9688,1.0,0.9841,0.0909,1.4607,2.318,11.6177,0.72
RMS + kurtosis,2,1.785862444006772,2.4122339446519123,0.02277077339671169,2,9,31,0,0.9394,1.0,0.9688,0.1818,1.848,3.2269,303.5052,0.766
RMS + crest,2,805.0799648795714,2.174401462631212,0.0458855140111732,2,9,31,0,0.9394,1.0,0.9688,0.1818,1.6113,2.7433,17.4942,0.741
crest + kurtosis,2,476.5626828896644,2.518992243251919,0.027838644654590333,1,10,31,0,0.9688,1.0,0.9841,0.0909,1.2248,2.5656,306.2523,0.486
RMS + centroid,2,3549514594.1446705,2.3757010495435913,0.04239339845152369,8,3,31,0,0.7949,1.0,0.8857,0.7273,3.5702,4.3411,98.3129,1.503
crest + centroid,2,424419.03224635957,2.3905988103599904,0.03736530181902782,1,10,31,0,0.9688,1.0,0.9841,0.0909,0.9886,3.4834,45.4596,0.414
kurtosis + centroid,2,197540646.20641884,2.7197369010852612,0.02526594475651969,1,10,31,0,0.9688,1.0,0.9841,0.0909,1.9639,3.0136,315.0945,0.722
RMS + kurtosis + crest,3,816.210602937668,2.6569774660736276,0.03136972205044047,3,8,31,0,0.9118,1.0,0.9538,0.2727,1.8888,3.615,307.7043,0.711
RMS + kurtosis + centroid,3,3781643299.0379705,2.813357783648479,0.02563439911193547,9,2,31,0,0.775,1.0,0.8732,0.8182,3.7862,4.5411,363.3324,1.346
RMS + crest + centroid,3,3550420413.576772,2.471039359143425,0.05330919705866456,8,3,31,0,0.7949,1.0,0.8857,0.7273,3.6344,4.459,100.3306,1.471
All (4 features),4,3802582788.1582165,2.8844796024649635,0.03304105996799204,9,2,31,0,0.775,1.0,0.8732,0.8182,3.9345,4.7371,369.7984,1.364
