feature_set,record,label,window_start_s,distance,share_min,standardized_projection_min
RMS + kurtosis (control),baseline_3.mat,normal,0.0,2.399368733442583,0.2548400554111284,1.2112417740070536
RMS + kurtosis (control),baseline_3.mat,normal,0.5,1.3487782544245894,0.8879462254434582,1.270965869514104
RMS + kurtosis (control),baseline_3.mat,normal,1.0,1.7307785584524829,0.9750153560957914,1.709020350544055
RMS + kurtosis (control),baseline_3.mat,normal,1.5,1.9016884356333075,0.9946857793009277,1.8966287085282398
RMS + kurtosis (control),baseline_3.mat,normal,2.0,2.81424974013862,0.5967181248460647,2.1739384773844064
RMS + kurtosis (control),baseline_3.mat,normal,2.5,3.3179926173604932,0.6616532767106299,2.6989239620938736
RMS + kurtosis (control),baseline_3.mat,normal,3.0,1.4439707561308683,0.9369475401608413,1.3977066629966155
RMS + kurtosis (control),baseline_3.mat,normal,3.5,0.48593428572508945,0.9998878122809821,-0.4859070270309913
RMS + kurtosis (control),baseline_3.mat,normal,4.0,1.989711029502297,0.6551446241629658,-1.6104920978793529
RMS + kurtosis (control),baseline_3.mat,normal,4.5,2.1375501198554003,0.9907821990191186,-2.1276755559365443
RMS + kurtosis (control),baseline_3.mat,normal,5.0,1.3429207332534312,0.7351208916344684,-1.1514093758310733
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,0.0,94.28417558912747,0.07125430171588046,-25.167747733811552
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,0.5,96.1552047753905,0.07223532746642614,-25.843279230500528
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,1.0,92.44250581289842,0.07397513618874431,-25.142855298999404
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,1.5,91.88525477331831,0.07546645974619222,-25.24194478182743
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,2.0,87.4680996103016,0.07858802685021529,-24.520418787747094
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,2.5,85.11222788396107,0.08015674126997871,-24.096944928879545
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,3.0,86.67007703324079,0.0756423319713646,-23.83700223366042
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,3.5,91.41157869911355,0.07288802140107387,-24.67909841982957
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,4.0,92.45115167145877,0.07446127608099914,-25.227694484477798
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,4.5,92.46663074477698,0.07285531381197374,-24.958337311003746
RMS + kurtosis (control),OuterRaceFault_3.mat,outer_race_fault,5.0,92.59608013857569,0.07386008863982274,-25.165033587362053
RMS + kurtosis (control),OuterRaceFault_vload_6.mat,outer_race_fault,0.0,293.8497722500593,0.03020254344597761,-51.06779629036297
RMS + kurtosis (control),OuterRaceFault_vload_6.mat,outer_race_fault,0.5,287.81921355191395,0.029972056501552522,-49.82852751266989
RMS + kurtosis (control),OuterRaceFault_vload_6.mat,outer_race_fault,1.0,311.6081189240428,0.02956897851607542,-53.58298770296027
RMS + kurtosis (control),OuterRaceFault_vload_6.mat,outer_race_fault,1.5,304.86793884564804,0.031004113376480503,-53.68110076900551
RMS + kurtosis (control),OuterRaceFault_vload_6.mat,outer_race_fault,2.0,255.13604960195687,0.0311380968445633,-45.02128218704643
RMS + kurtosis (control),OuterRaceFault_vload_7.mat,outer_race_fault,0.0,1097.5206726360636,0.04417340828704449,-230.67108795049683
RMS + kurtosis (control),OuterRaceFault_vload_7.mat,outer_race_fault,0.5,1087.0327584624379,0.04164331338389496,-221.8274417288305
RMS + kurtosis (control),OuterRaceFault_vload_7.mat,outer_race_fault,1.0,1177.6539369392385,0.03934527307641252,-233.5952299766549
RMS + kurtosis (control),OuterRaceFault_vload_7.mat,outer_race_fault,1.5,1252.8289259466187,0.03908720337358024,-247.6903411291231
RMS + kurtosis (control),OuterRaceFault_vload_7.mat,outer_race_fault,2.0,1263.6498240346275,0.03959861533888021,-251.45874357090585
