fold,feature_set,criterion,delta,condition_number,threshold,fp,fpr,f1,inflation_ratio
F1,RMS + kurtosis (control),C1_empirical,0.0,1.7859,2.4811,2,0.1818,0.9688,0.7665
F1,RMS + kurtosis (control),C2_loo_window,1.0,1.0,2.3914,3,0.2727,0.9538,0.6752
F1,RMS + kurtosis (control),C3_ledoit_wolf,1.0,1.0,2.3914,3,0.2727,0.9538,0.6752
F1,RMS + kurtosis (control),C4_file_loo,1.0,1.0,2.3914,3,0.2727,0.9538,0.6752
F1,RMS + kurtosis (control),C5_cond_target,0.0,1.7859,2.4811,2,0.1818,0.9688,0.7665
F1,RMS + centroid (problem),C1_empirical,0.0,3549514178.939,2.4383,9,0.8182,0.8732,1.5756
F1,RMS + centroid (problem),C2_loo_window,0.0,3549514178.939,2.4383,9,0.8182,0.8732,1.5756
F1,RMS + centroid (problem),C3_ledoit_wolf,0.2201,8.0848,2.5136,1,0.0909,0.9841,0.3106
F1,RMS + centroid (problem),C4_file_loo,0.0,3549514178.939,2.4383,9,0.8182,0.8732,1.5756
F1,RMS + centroid (problem),C5_cond_target,0.02,99.0,2.3831,1,0.0909,0.9841,0.3106
F1,crest + centroid (counterexample),C1_empirical,0.0,424419.0322,2.4469,1,0.0909,0.9841,0.4136
F1,crest + centroid (counterexample),C2_loo_window,0.0,424419.0322,2.4469,1,0.0909,0.9841,0.4136
F1,crest + centroid (counterexample),C3_ledoit_wolf,0.2201,8.0846,2.5136,1,0.0909,0.9841,0.3106
F1,crest + centroid (counterexample),C4_file_loo,0.0,424419.0322,2.4469,1,0.0909,0.9841,0.4136
F1,crest + centroid (counterexample),C5_cond_target,0.02,98.9769,2.3831,1,0.0909,0.9841,0.3106
F2,RMS + kurtosis (control),C1_empirical,0.0,1.785,2.3674,0,0.0,1.0,0.4401
F2,RMS + kurtosis (control),C2_loo_window,0.97,1.0171,2.5412,0,0.0,1.0,0.3909
F2,RMS + kurtosis (control),C3_ledoit_wolf,1.0,1.0,2.5507,0,0.0,1.0,0.3878
F2,RMS + kurtosis (control),C4_file_loo,1.0,1.0,2.5507,0,0.0,1.0,0.3878
F2,RMS + kurtosis (control),C5_cond_target,0.0,1.785,2.3674,0,0.0,1.0,0.4401
F2,RMS + centroid (problem),C1_empirical,0.0,826918510.0042,2.5898,2,0.1818,0.9688,0.4685
F2,RMS + centroid (problem),C2_loo_window,0.0,826918510.0042,2.5898,2,0.1818,0.9688,0.4685
F2,RMS + centroid (problem),C3_ledoit_wolf,0.1629,11.2759,2.3688,2,0.1818,0.9688,0.4189
F2,RMS + centroid (problem),C4_file_loo,0.01,199.0,2.276,2,0.1818,0.9688,0.4189
F2,RMS + centroid (problem),C5_cond_target,0.02,99.0,2.2817,2,0.1818,0.9688,0.4189
F2,crest + centroid (counterexample),C1_empirical,0.0,408138.5737,2.5926,2,0.1818,0.9688,0.4595
F2,crest + centroid (counterexample),C2_loo_window,0.0,408138.5737,2.5926,2,0.1818,0.9688,0.4595
F2,crest + centroid (counterexample),C3_ledoit_wolf,0.1629,11.2755,2.3688,2,0.1818,0.9688,0.4189
F2,crest + centroid (counterexample),C4_file_loo,0.0,408138.5737,2.5926,2,0.1818,0.9688,0.4595
F2,crest + centroid (counterexample),C5_cond_target,0.02,98.976,2.2818,2,0.1818,0.9688,0.4189
F3,RMS + kurtosis (control),C1_empirical,0.0,2.4294,2.4916,1,0.0909,0.9841,0.7735
F3,RMS + kurtosis (control),C2_loo_window,0.53,1.4872,2.3673,1,0.0909,0.9841,0.7265
F3,RMS + kurtosis (control),C3_ledoit_wolf,0.7134,1.2713,2.4236,1,0.0909,0.9841,0.7324
F3,RMS + kurtosis (control),C4_file_loo,0.43,1.6232,2.3444,1,0.0909,0.9841,0.7249
F3,RMS + kurtosis (control),C5_cond_target,0.0,2.4294,2.4916,1,0.0909,0.9841,0.7735
F3,RMS + centroid (problem),C1_empirical,0.0,2282674812.226,2.3786,2,0.1818,0.9688,0.7972
F3,RMS + centroid (problem),C2_loo_window,0.0,2282674812.226,2.3786,2,0.1818,0.9688,0.7972
F3,RMS + centroid (problem),C3_ledoit_wolf,0.21,8.5215,2.4327,0,0.0,1.0,0.2533
F3,RMS + centroid (problem),C4_file_loo,0.01,199.0,2.3071,0,0.0,1.0,0.2533
F3,RMS + centroid (problem),C5_cond_target,0.02,99.0,2.313,0,0.0,1.0,0.2533
F3,crest + centroid (counterexample),C1_empirical,0.0,1305969.4622,2.7604,2,0.1818,0.9688,0.4626
F3,crest + centroid (counterexample),C2_loo_window,0.0,1305969.4622,2.7604,2,0.1818,0.9688,0.4626
F3,crest + centroid (counterexample),C3_ledoit_wolf,0.2101,8.5215,2.4327,0,0.0,1.0,0.2533
F3,crest + centroid (counterexample),C4_file_loo,0.0,1305969.4622,2.7604,2,0.1818,0.9688,0.4626
F3,crest + centroid (counterexample),C5_cond_target,0.02,98.9925,2.313,0,0.0,1.0,0.2533
