dataset,run,window_sec,held_out,feature_group,scheme,n_train_windows,delta,condition_number,threshold,inflation_ratio,fp,n_windows,fp_rate
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,RMS + kurtosis (control),empirical,33,0.0,60254.02297879531,2.6184076875069153,0.609199177768073,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,RMS + kurtosis (control),ledoit_wolf,33,0.0523,37.2151190611525,1.9382661679748217,0.21945095657922803,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,RMS + kurtosis (control),cond_target,33,0.02,98.83762205244558,1.9225830791442216,0.22093286267784085,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,RMS + centroid (problem),empirical,33,0.0,1668518606.602909,2.483708830993926,0.5588790161384413,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,RMS + centroid (problem),ledoit_wolf,33,0.1088,17.375333947717607,2.3397413943670835,0.30354484831846906,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,RMS + centroid (problem),cond_target,33,0.02,98.99999412652674,2.286647505462547,0.3035448705598521,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,crest + centroid (counterexample),empirical,33,0.0,7335.687578236821,2.6713079524875107,0.8350492733919532,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,crest + centroid (counterexample),ledoit_wolf,33,0.1089,17.326029974726122,2.3403418753522294,0.30768155216187726,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.06.24.txt,crest + centroid (counterexample),cond_target,33,0.02,97.68185449665874,2.289777718264705,0.326079524089129,0,3,0.0
IMS 1st_test,1st_test,0.5,2003.10.22.12.09.13.txt,RMS + kurtosis (control),empirical,33,0.0,60329.17194073443,2.636095071295302,0.9284336701353747,1,3,0.3333333333333333
