dataset,feature_group,scheme,median_inflation,mean_fp_rate,median_condition,folds
IMS 1st_test,RMS + centroid (problem),cond_target,0.33699147876946695,0.03571428571428571,98.99999629741723,12
IMS 1st_test,RMS + centroid (problem),empirical,0.4725211755951041,0.023809523809523808,2647182684.063762,12
IMS 1st_test,RMS + centroid (problem),ledoit_wolf,0.33699146613918085,0.03571428571428571,54.592140644000736,12
IMS 1st_test,RMS + kurtosis (control),cond_target,0.3524226851568092,0.011904761904761904,98.79793128856612,12
IMS 1st_test,RMS + kurtosis (control),empirical,0.4002353466414918,0.03571428571428571,48400.270487252405,12
IMS 1st_test,RMS + kurtosis (control),ledoit_wolf,0.35215003831947317,0.011904761904761904,62.74941689855639,12
IMS 1st_test,crest + centroid (counterexample),cond_target,0.3377916012833613,0.03571428571428571,98.52584477969543,12
IMS 1st_test,crest + centroid (counterexample),empirical,0.4846410780038668,0.023809523809523808,20569.473796072853,12
IMS 1st_test,crest + centroid (counterexample),ledoit_wolf,0.33743721688590367,0.03571428571428571,54.45142330854645,12
IMS 2nd_test,RMS + centroid (problem),cond_target,0.40785133671677665,0.023809523809523808,98.99998088100668,6
IMS 2nd_test,RMS + centroid (problem),empirical,0.5306101270202732,0.14285714285714285,513236931.0529479,6
IMS 2nd_test,RMS + centroid (problem),ledoit_wolf,0.40785132374961286,0.023809523809523808,19.876863556566548,6
IMS 2nd_test,RMS + kurtosis (control),cond_target,0.12735278723750706,0.047619047619047616,98.84793970606208,6
IMS 2nd_test,RMS + kurtosis (control),empirical,0.33233006209760046,0.047619047619047616,64377.2386300654,6
IMS 2nd_test,RMS + kurtosis (control),ledoit_wolf,0.12734193131113514,0.047619047619047616,2.3343216636176702,6
IMS 2nd_test,crest + centroid (counterexample),cond_target,0.4137006387492661,0.023809523809523808,96.5541805342264,6
IMS 2nd_test,crest + centroid (counterexample),empirical,0.3450282408449167,0.09523809523809523,3907.94193371009,6
IMS 2nd_test,crest + centroid (counterexample),ledoit_wolf,0.4090071880529468,0.023809523809523808,19.7421515245769,6
IMS 4th_test,RMS + centroid (problem),cond_target,0.32881133634809334,0.07142857142857142,98.9999970127366,6
IMS 4th_test,RMS + centroid (problem),empirical,0.43277523907133353,0.09523809523809523,3282464901.7068005,6
IMS 4th_test,RMS + centroid (problem),ledoit_wolf,0.32881133637828786,0.07142857142857142,17.0081546982218,6
IMS 4th_test,RMS + kurtosis (control),cond_target,0.411830777445764,0.07142857142857142,98.82230287846431,6
IMS 4th_test,RMS + kurtosis (control),empirical,0.508653544434772,0.047619047619047616,55085.75856824206,6
IMS 4th_test,RMS + kurtosis (control),ledoit_wolf,0.4111713317309259,0.07142857142857142,27.062255688157933,6
IMS 4th_test,crest + centroid (counterexample),cond_target,0.33055700575034414,0.07142857142857142,98.19827011098002,6
IMS 4th_test,crest + centroid (counterexample),empirical,0.483027597222067,0.07142857142857142,12124.617407355752,6
IMS 4th_test,crest + centroid (counterexample),ledoit_wolf,0.32910656002733646,0.07142857142857142,16.979322314362662,6
MFPT,RMS + centroid (problem),cond_target,0.31059953278534563,0.0909090909090909,98.99999570679124,3
MFPT,RMS + centroid (problem),empirical,0.7971604214725235,0.393939393939394,2282674812.2260017,3
MFPT,RMS + centroid (problem),ledoit_wolf,0.31059948369968365,0.0909090909090909,8.521546996937163,3
MFPT,RMS + kurtosis (control),cond_target,0.7664800717319064,0.0909090909090909,1.7858624351057195,3
MFPT,RMS + kurtosis (control),empirical,0.7664800717319064,0.0909090909090909,1.7858624351057195,3
MFPT,RMS + kurtosis (control),ledoit_wolf,0.6751967432702808,0.12121212121212122,1.0,3
MFPT,crest + centroid (counterexample),cond_target,0.31059726982063085,0.0909090909090909,98.97691499711266,3
MFPT,crest + centroid (counterexample),empirical,0.4594715195795007,0.15151515151515152,424419.0322404153,3
MFPT,crest + centroid (counterexample),ledoit_wolf,0.3105993058867584,0.0909090909090909,8.5214666300766,3
