dataset,detector,mean_fp_rate,median_fp_rate,std_fp_rate,mean_auroc,mean_recall_at_10pct,mean_f1,seconds
IMS 1st_test,A: 3-sigma RMS,0.0238,0.0,0.0556,,,,0.0001
IMS 1st_test,B: Mahalanobis,0.0476,0.0,0.0703,,,,0.0003
IMS 1st_test,C: One-Class SVM,0.2738,0.2857,0.197,,,,0.002
IMS 1st_test,D: Isolation Forest,0.0357,0.0,0.0646,,,,0.2068
IMS 2nd_test,A: 3-sigma RMS,0.0238,0.0,0.0583,,,,0.0001
IMS 2nd_test,B: Mahalanobis,0.119,0.0714,0.1405,,,,0.0002
IMS 2nd_test,C: One-Class SVM,0.4524,0.3571,0.2773,,,,0.0013
IMS 2nd_test,D: Isolation Forest,0.0476,0.0,0.1166,,,,0.2069
IMS 4th_test,A: 3-sigma RMS,0.0238,0.0,0.0583,,,,0.0001
IMS 4th_test,B: Mahalanobis,0.1667,0.0,0.2621,,,,0.0002
IMS 4th_test,C: One-Class SVM,0.5,0.5,0.2673,,,,0.0015
IMS 4th_test,D: Isolation Forest,0.0476,0.0,0.1166,,,,0.2054
MFPT,A: 3-sigma RMS,0.0606,0.0,0.105,1.0,1.0,0.662,0.0001
MFPT,B: Mahalanobis,0.5455,0.6364,0.3278,1.0,1.0,0.6268,0.0003
MFPT,C: One-Class SVM,0.6667,0.8182,0.2624,1.0,1.0,0.6183,0.0013
MFPT,D: Isolation Forest,0.0,0.0,0.0,1.0,1.0,0.6667,0.226
