null_kind,dataset_index,n_replicates,modal_share,n_distinct_cfg,tie_share,val_fp_mean,test_fp_mean,test_fp_std
n1,0,20,0.6,4,0.85,0.02857142857142857,0.021428571428571425,0.04080289789839139
n1,1,20,0.7,6,0.9,0.014285714285714285,0.02857142857142857,0.03590176356785962
n1,2,20,0.75,5,0.9,0.023809523809523808,0.014285714285714285,0.04970374099560424
n1,3,20,0.65,5,0.65,0.007142857142857143,0.06071428571428571,0.05322570145504247
n1,4,20,0.8,4,0.95,0.014285714285714285,0.06428571428571428,0.06513639329492796
n1,5,20,0.6,4,0.9,0.007142857142857143,0.014285714285714285,0.029313667202432975
n1,6,20,0.75,4,0.95,0.016666666666666666,0.05357142857142856,0.04561902668989321
n1,7,20,0.75,5,0.95,0.009523809523809523,0.049999999999999996,0.05233536407607475
n1,8,20,0.75,4,0.9,0.011904761904761904,0.007142857142857143,0.02198525040182473
n1,9,20,0.75,3,1.0,0.0047619047619047615,0.007142857142857143,0.02198525040182473
n1,10,20,0.8,2,0.7,0.02142857142857143,0.007142857142857143,0.02198525040182473
n1,11,20,0.7,3,0.95,0.007142857142857143,0.046428571428571416,0.03495432035211377
n1,12,20,0.75,6,0.85,0.0023809523809523807,0.017857142857142856,0.04561902668989321
n1,13,20,0.5,4,0.85,0.026190476190476188,0.014285714285714285,0.029313667202432975
n1,14,20,0.75,4,0.95,0.007142857142857143,0.010714285714285714,0.02616768203803737
n1,15,20,0.75,3,0.8,0.023809523809523808,0.014285714285714285,0.029313667202432968
n1,16,20,0.7,4,1.0,0.0047619047619047615,0.02857142857142857,0.042731645829722775
n1,17,20,0.5,5,0.8,0.02142857142857143,0.0035714285714285713,0.015971914124998498
n1,18,20,0.9,3,0.95,0.0047619047619047615,0.007142857142857143,0.021985250401824728
n1,19,20,0.8,3,1.0,0.009523809523809523,0.05714285714285714,0.03736774027004264
n1,20,20,0.75,5,0.9,0.02857142857142857,0.0035714285714285713,0.015971914124998498
n1,21,20,0.65,4,0.95,0.007142857142857143,0.02857142857142857,0.05385264535178942
n1,22,20,0.6,5,0.8,0.007142857142857143,0.014285714285714285,0.029313667202432975
n1,23,20,0.6,6,0.85,0.023809523809523808,0.05714285714285713,0.04397050080364946
n1,24,20,0.55,3,0.95,0.0047619047619047615,0.03214285714285714,0.04902376722523283
n1,25,20,0.7,6,0.9,0.009523809523809523,0.010714285714285714,0.03495432035211379
n1,26,20,0.8,4,0.9,0.016666666666666666,0.06428571428571428,0.051298917604257706
n1,27,20,0.8,4,0.85,0.011904761904761904,0.02857142857142857,0.05385264535178942
n1,28,20,0.75,4,0.75,0.009523809523809523,0.046428571428571416,0.04791574237499549
n1,29,20,0.8,4,0.9,0.019047619047619046,0.025,0.03495432035211378
