variant,n_train,sd_fp,mean_fp,n_repeat,sd_ideal,ratio_obs_ideal,n_eff,efficiency
V1_window,10,0.1262195676712396,0.10428571428571429,150,0.03146426544510456,4.01152119350931,0.6214151227270782,0.062141512272707825
V1_window,20,0.07966853671964168,0.054285714285714284,150,0.022248595461286998,3.580834433268677,1.5597734138972832,0.07798867069486416
V1_window,40,0.0660382194792956,0.054285714285714284,150,0.01573213272255228,4.197664782259857,2.2700973618090474,0.05675243404522619
V1_window,80,0.06353113477706243,0.06523809523809523,150,0.011124297730643499,5.711024310510556,2.4527990498275,0.03065998812284375
V1_window,160,0.045278866759317096,0.06523809523809523,150,0.00786606636127614,5.756227405125951,4.828854247856589,0.030180339049103683
V1_window,320,0.04115896226103535,0.060476190476190475,150,0.005562148865321749,7.399831118805279,5.843948254952169,0.01826233829672553
V1_window,640,0.05078932281550629,0.052380952380952375,150,0.00393303318063807,12.913525130054092,3.837870796460182,0.005996673119469035
V2_recording,10,0.1256095033846841,0.0819047619047619,150,0.03146426544510456,3.992132077700461,0.6274659991897681,0.06274659991897681
V2_recording,20,0.1135844576867233,0.0819047619047619,150,0.022248595461286998,5.105241716690051,0.7673568546960158,0.03836784273480079
V2_recording,40,0.07500019023245139,0.04904761904761905,150,0.01573213272255228,4.767325038196336,1.7599910717909186,0.04399977679477297
V2_recording,80,0.06097901603250698,0.056666666666666664,150,0.011124297730643499,5.481605896301336,2.6624065320154746,0.03328008165019343
V2_recording,160,0.04025894361759138,0.0619047619047619,150,0.00786606636127614,5.118052882922796,6.108160563380286,0.03817600352112679
V2_recording,320,0.03818999879356905,0.056666666666666664,150,0.005562148865321749,6.866051182425499,6.787907340741908,0.02121221043981846
V2_recording,640,0.04205871802877916,0.04714285714285714,150,0.00393303318063807,10.693710451218676,5.596585365853663,0.00874466463414635
