arm,n_train,n_distinct_records,repeat,threshold,test_fp,test_pct_mean
S1_resample,5,4,0,0.5,0.0,1.0
S1_resample,5,5,1,0.5,0.0,1.0
S1_resample,5,4,2,0.5,0.0,1.0
S1_resample,5,5,3,0.5,0.0,1.0
S1_resample,5,5,4,0.5,0.0,1.0
S1_resample,5,5,5,0.5,0.0,1.0
S1_resample,5,5,6,0.5,0.0,1.0
S1_resample,5,4,7,0.5,0.0,1.0
S1_resample,5,3,8,0.5,0.0,1.0
S1_resample,5,5,9,0.5,0.0,1.0
S1_resample,5,4,10,0.5,0.0,1.0
S1_resample,5,5,11,0.5,0.0,1.0
S1_resample,5,5,12,0.5,0.0,1.0
S1_resample,5,5,13,0.5,0.0,1.0
S1_resample,5,4,14,0.5,0.0,1.0
S1_resample,5,5,15,0.5,0.0,1.0
S1_resample,5,4,16,0.5,0.0,1.0
S1_resample,5,5,17,0.5,0.0,1.0
S1_resample,5,4,18,0.5,0.0,1.0
S1_resample,5,4,19,0.5,0.0,1.0
S1_resample,5,4,20,0.5,0.0,1.0
S1_resample,5,5,21,0.5,0.0,1.0
S1_resample,5,5,22,0.5,0.0,1.0
S1_resample,5,3,23,0.5,0.0,1.0
S1_resample,5,5,24,0.5,0.0,1.0
S1_resample,5,4,25,0.5,0.0,1.0
S1_resample,5,5,26,0.5,0.0,1.0
S1_resample,5,5,27,0.5,0.0,1.0
S1_resample,5,5,28,0.5,0.0,1.0
S1_resample,5,5,29,0.5,0.0,1.0
S1_resample,5,5,30,0.5,0.0,1.0
S1_resample,5,4,31,0.5,0.0,1.0
S1_resample,5,4,32,0.5,0.0,1.0
S1_resample,5,3,33,0.5,0.0,1.0
S1_resample,5,5,34,0.5,0.0,1.0
S1_resample,5,5,35,0.5,0.0,1.0
S1_resample,5,4,36,0.5,0.0,1.0
S1_resample,5,4,37,0.5,0.0,1.0
S1_resample,5,5,38,0.5,0.0,1.0
S1_resample,5,4,39,0.5,0.0,1.0
S1_resample,5,4,40,0.5,0.0,1.0
S1_resample,5,5,41,0.5,0.0,1.0
S1_resample,5,5,42,0.5,0.0,1.0
S1_resample,5,5,43,0.5,0.0,1.0
S1_resample,5,4,44,0.5,0.0,1.0
S1_resample,5,5,45,0.5,0.0,1.0
S1_resample,5,4,46,0.5,0.0,1.0
