condition,arm,n_train,sd_fp,mean_fp,n_eff,efficiency
N09_M07_F10,S1_resample,10,0.16449500570642528,0.06291666666666668,0.3658724943129903,0.036587249431299027
N09_M07_F10,S1_resample,20,0.056649581500440804,0.0125,3.0849049180327888,0.15424524590163943
N09_M07_F10,S1_resample,40,0.026814091643428413,0.004166666666666667,13.769209756097572,0.3442302439024393
N09_M07_F10,S1_resample,60,0.009279229306400568,0.00125,114.97710794297366,1.9162851323828944
N09_M07_F10,S1_resample,80,0.0,0.0,inf,inf
N09_M07_F10,S1_resample,96,0.0,0.0,inf,inf
N09_M07_F10,S2_new_records,10,0.0579336354523241,0.03375,2.9496713516902684,0.29496713516902684
N09_M07_F10,S2_new_records,20,0.023759191026824923,0.017083333333333332,17.537670083877007,0.8768835041938503
N09_M07_F10,S2_new_records,40,0.016750630254320203,0.008333333333333333,35.28360000000003,0.8820900000000007
N09_M07_F10,S2_new_records,60,0.014378979466744171,0.004583333333333333,47.882748091603105,0.7980458015267184
N09_M07_F10,S2_new_records,80,0.010879853497231116,0.0020833333333333333,83.63520000000007,1.0454400000000008
N09_M07_F10,S2_new_records,96,0.00927922930640057,0.00125,114.97710794297362,1.1976782077393084
N15_M01_F10,S1_resample,10,0.20824914123721655,0.12916666666666665,0.228280469065912,0.022828046906591203
N15_M01_F10,S1_resample,20,0.16309031171572735,0.12708333333333333,0.37220214273941016,0.01861010713697051
N15_M01_F10,S1_resample,40,0.15628212352164744,0.1325,0.40533731583330973,0.010133432895832743
N15_M01_F10,S1_resample,60,0.15992850096488556,0.14291666666666666,0.38706460703046325,0.006451076783841054
N15_M01_F10,S1_resample,80,0.16412786463112414,0.13208333333333333,0.36751118083991424,0.004593889760498928
N15_M01_F10,S1_resample,96,0.1506829523616904,0.09375,0.43602054450666206,0.004541880671944397
N15_M01_F10,S2_new_records,10,0.07455912318911427,0.04583333333333333,1.7808757097791816,0.17808757097791816
N15_M01_F10,S2_new_records,20,0.05179846337567175,0.04583333333333333,3.6897882352941225,0.18448941176470612
N15_M01_F10,S2_new_records,40,0.027837687919201708,0.017083333333333332,12.775234215885959,0.319380855397149
N15_M01_F10,S2_new_records,60,0.016088454986057044,0.0075,38.247804878048825,0.6374634146341471
N15_M01_F10,S2_new_records,80,0.009126788064899595,0.0020833333333333333,118.85002105263173,1.4856252631578966
N15_M01_F10,S2_new_records,96,0.0,0.0,inf,inf
N15_M07_F04,S1_resample,10,0.17636900388988103,0.10875,0.3182663111191294,0.03182663111191294
N15_M07_F04,S1_resample,20,0.099107797369525,0.06958333333333333,1.0079048758279638,0.05039524379139819
N15_M07_F04,S1_resample,40,0.09469941074294878,0.05458333333333333,1.1039277263927745,0.027598193159819363
N15_M07_F04,S1_resample,60,0.09728623433813607,0.05125,1.046001741676086,0.0174333623612681
N15_M07_F04,S1_resample,80,0.07700736770033555,0.03,1.6694393186657215,0.020867991483321517
N15_M07_F04,S1_resample,96,0.12364302731761659,0.055,0.6475837386436636,0.006745663944204829
N15_M07_F04,S2_new_records,10,0.0741629307120947,0.04416666666666667,1.7999540874888418,0.17999540874888417
N15_M07_F04,S2_new_records,20,0.045420160956609945,0.03916666666666666,4.798857531451892,0.2399428765725946
N15_M07_F04,S2_new_records,40,0.03270397014583494,0.020416666666666666,9.25623216920808,0.231405804230202
N15_M07_F04,S2_new_records,60,0.019978242935675235,0.0075,24.80393673110723,0.4133989455184538
N15_M07_F04,S2_new_records,80,0.005862720589012069,0.0008333333333333333,288.02938775510245,3.6003673469387807
N15_M07_F04,S2_new_records,96,0.0,0.0,inf,inf
N15_M07_F10,S1_resample,10,0.2340766961953178,0.1275,0.1806836421787746,0.0180683642178774
N15_M07_F10,S1_resample,20,0.1654842471135973,0.0927777777777777,0.361511300717074,0.0180755650358537
N15_M07_F10,S1_resample,40,0.160662738479306,0.1138888888888888,0.3835348781221792,0.0095883719530544
N15_M07_F10,S1_resample,60,0.1817520443288004,0.1961111111111111,0.2996929907069495,0.0049948831784491
N15_M07_F10,S1_resample,80,0.1792040567613678,0.2016666666666666,0.3082758620689659,0.003853448275862
N15_M07_F10,S1_resample,96,0.1803706102639226,0.2016666666666666,0.3043011861784427,0.0031698040226921
N15_M07_F10,S2_new_records,10,0.0723590455233687,0.0516666666666666,1.8908171621862224,0.1890817162186222
N15_M07_F10,S2_new_records,20,0.0469323691938797,0.0383333333333333,4.494591620820998,0.2247295810410499
N15_M07_F10,S2_new_records,40,0.020969910263645,0.0091666666666666,22.513449920508783,0.5628362480127196
N15_M07_F10,S2_new_records,60,0.0099284351991316,0.0025,100.43234042553206,1.6738723404255345
N15_M07_F10,S2_new_records,80,0.0047950799210406,0.0005555555555555,430.56972972973017,5.382121621621627
N15_M07_F10,S2_new_records,96,0.0,0.0,inf,inf
