regime,fold,arm,n_train,k_bearings,repeat,test_fp
R1_within_bearing,all,S1_resample,10,,0,0.0
R1_within_bearing,all,S1_resample,10,,1,0.0
R1_within_bearing,all,S1_resample,10,,2,0.041666666666666664
R1_within_bearing,all,S1_resample,10,,3,0.041666666666666664
R1_within_bearing,all,S1_resample,10,,4,0.0
R1_within_bearing,all,S1_resample,10,,5,0.041666666666666664
R1_within_bearing,all,S1_resample,10,,6,0.0
R1_within_bearing,all,S1_resample,10,,7,0.0
R1_within_bearing,all,S1_resample,10,,8,0.0
R1_within_bearing,all,S1_resample,10,,9,0.0
R1_within_bearing,all,S1_resample,10,,10,0.041666666666666664
R1_within_bearing,all,S1_resample,10,,11,0.0
R1_within_bearing,all,S1_resample,10,,12,0.0
R1_within_bearing,all,S1_resample,10,,13,0.0
R1_within_bearing,all,S1_resample,10,,14,0.0
R1_within_bearing,all,S1_resample,10,,15,0.0
R1_within_bearing,all,S1_resample,10,,16,0.0
R1_within_bearing,all,S1_resample,10,,17,0.0
R1_within_bearing,all,S1_resample,10,,18,0.375
R1_within_bearing,all,S1_resample,10,,19,0.041666666666666664
R1_within_bearing,all,S1_resample,10,,20,0.3333333333333333
R1_within_bearing,all,S1_resample,10,,21,0.041666666666666664
R1_within_bearing,all,S1_resample,10,,22,0.0
R1_within_bearing,all,S1_resample,10,,23,0.0
R1_within_bearing,all,S1_resample,10,,24,0.0
R1_within_bearing,all,S1_resample,10,,25,0.0
R1_within_bearing,all,S1_resample,10,,26,0.0
R1_within_bearing,all,S1_resample,10,,27,0.08333333333333333
R1_within_bearing,all,S1_resample,10,,28,0.8333333333333334
R1_within_bearing,all,S1_resample,10,,29,0.041666666666666664
R1_within_bearing,all,S1_resample,10,,30,0.0
R1_within_bearing,all,S1_resample,10,,31,0.041666666666666664
R1_within_bearing,all,S1_resample,10,,32,0.08333333333333333
R1_within_bearing,all,S1_resample,10,,33,0.0
R1_within_bearing,all,S1_resample,10,,34,0.0
R1_within_bearing,all,S1_resample,10,,35,0.0
R1_within_bearing,all,S1_resample,10,,36,0.8333333333333334
