regime,fold,arm,n_train,k_bearings,mean_fp,sd_fp,n_repeat
R1_within_bearing,all,S1_resample,10,,0.09125,0.21925856787075904,100
R1_within_bearing,all,S1_resample,20,,0.03375,0.13145443300760642,100
R1_within_bearing,all,S1_resample,40,,0.020416666666666666,0.07956439168524086,100
R1_within_bearing,all,S1_resample,60,,0.03833333333333333,0.10588730430094634,100
R1_within_bearing,all,S1_resample,80,,0.042083333333333334,0.11103137922099848,100
R1_within_bearing,all,S1_resample,96,,0.04958333333333333,0.12103634403302137,100
R1_within_bearing,all,S2_new_records,10,,0.05208333333333333,0.07189489733372086,100
R1_within_bearing,all,S2_new_records,20,,0.035416666666666666,0.0428596062436709,100
R1_within_bearing,all,S2_new_records,40,,0.01,0.019748701814158737,100
R1_within_bearing,all,S2_new_records,60,,0.0029166666666666664,0.010684683332343447,100
R1_within_bearing,all,S2_new_records,80,,0.0,0.0,100
R1_within_bearing,all,S2_new_records,96,,0.0,0.0,100
R2_bearing_holdout,K001,S1_resample,10,,0.6645,0.39659504064300427,100
R2_bearing_holdout,K001,S1_resample,20,,0.748,0.31333333333333324,100
R2_bearing_holdout,K001,S1_resample,40,,0.7935,0.2352362878280286,100
R2_bearing_holdout,K001,S1_resample,60,,0.7909999999999999,0.22319760688047643,100
R2_bearing_holdout,K001,S1_resample,80,,0.63,0.3060005941764878,100
R2_bearing_holdout,K001,S1_resample,96,,0.5915,0.33113326988426034,100
R2_bearing_holdout,K001,S2_new_records,10,,0.0795,0.20314385110660926,100
R2_bearing_holdout,K001,S2_new_records,20,,0.0935,0.2210689137949175,100
R2_bearing_holdout,K001,S2_new_records,40,,0.05,0.17305922382090747,100
R2_bearing_holdout,K001,S2_new_records,60,,0.014499999999999999,0.05742584150647925,100
R2_bearing_holdout,K001,S2_new_records,80,,0.011500000000000002,0.041350314204954774,100
R2_bearing_holdout,K001,S2_new_records,96,,0.004,0.018367736315989987,100
R2_bearing_holdout,K001,S3_units,20,1.0,0.8025,0.31625771041025924,100
R2_bearing_holdout,K001,S3_units,20,2.0,0.37,0.422056054489582,100
R2_bearing_holdout,K001,S3_units,20,3.0,0.1945,0.32951563780123627,100
R2_bearing_holdout,K001,S3_units,20,4.0,0.20350000000000001,0.3394332025449175,100
R2_bearing_holdout,K001,S3_units,20,5.0,0.0155,0.06842196764611244,100
R2_bearing_holdout,K002,S1_resample,10,,0.8775,0.17557625181675393,100
R2_bearing_holdout,K002,S1_resample,20,,0.9235,0.10858478975278522,100
R2_bearing_holdout,K002,S1_resample,40,,0.9645,0.04038639134734132,100
R2_bearing_holdout,K002,S1_resample,60,,0.9670000000000001,0.04096068575814837,100
R2_bearing_holdout,K002,S1_resample,80,,0.9670000000000001,0.03906741130741358,100
R2_bearing_holdout,K002,S1_resample,96,,0.9540000000000001,0.049584129099802254,100
R2_bearing_holdout,K002,S2_new_records,10,,0.045,0.1548051887523363,100
R2_bearing_holdout,K002,S2_new_records,20,,0.083,0.20166228394937108,100
R2_bearing_holdout,K002,S2_new_records,40,,0.377,0.31888536935375195,100
R2_bearing_holdout,K002,S2_new_records,60,,0.6625,0.20168169240291753,100
R2_bearing_holdout,K002,S2_new_records,80,,0.7025,0.13130560390235296,100
R2_bearing_holdout,K002,S2_new_records,96,,0.7535,0.06523268375824373,100
R2_bearing_holdout,K002,S3_units,20,1.0,0.8134999999999999,0.3550398327346986,100
R2_bearing_holdout,K002,S3_units,20,2.0,0.606,0.3855522079440151,100
R2_bearing_holdout,K002,S3_units,20,3.0,0.08900000000000001,0.22569533410858064,100
R2_bearing_holdout,K002,S3_units,20,4.0,0.24050000000000002,0.3256458229736749,100
R2_bearing_holdout,K002,S3_units,20,5.0,0.031,0.09368440466143596,100
R2_bearing_holdout,K003,S1_resample,10,,0.8959999999999999,0.2239092529024952,100
R2_bearing_holdout,K003,S1_resample,20,,0.9545,0.14161674699802643,100
R2_bearing_holdout,K003,S1_resample,40,,0.9925,0.04043638225782581,100
R2_bearing_holdout,K003,S1_resample,60,,0.9995,0.005000000000000016,100
R2_bearing_holdout,K003,S1_resample,80,,1.0,0.0,100
R2_bearing_holdout,K003,S1_resample,96,,1.0,0.0,100
R2_bearing_holdout,K003,S2_new_records,10,,0.2325,0.3365282493733068,100
R2_bearing_holdout,K003,S2_new_records,20,,0.078,0.18509075033233252,100
R2_bearing_holdout,K003,S2_new_records,40,,0.0355,0.11443647613723111,100
R2_bearing_holdout,K003,S2_new_records,60,,0.039,0.10139930069688935,100
R2_bearing_holdout,K003,S2_new_records,80,,0.044500000000000005,0.08037004065162237,100
R2_bearing_holdout,K003,S2_new_records,96,,0.0155,0.040635730905972715,100
R2_bearing_holdout,K003,S3_units,20,1.0,0.768,0.323921676528837,100
R2_bearing_holdout,K003,S3_units,20,2.0,0.4875,0.407466612624937,100
R2_bearing_holdout,K003,S3_units,20,3.0,0.253,0.3351330204771553,100
R2_bearing_holdout,K003,S3_units,20,4.0,0.342,0.3667162500910045,100
R2_bearing_holdout,K003,S3_units,20,5.0,0.0155,0.0567178912859002,100
R2_bearing_holdout,K004,S1_resample,10,,0.69,0.4648231987117318,100
R2_bearing_holdout,K004,S1_resample,20,,0.98,0.14070529413628968,100
R2_bearing_holdout,K004,S1_resample,40,,1.0,0.0,100
R2_bearing_holdout,K004,S1_resample,60,,1.0,0.0,100
R2_bearing_holdout,K004,S1_resample,80,,1.0,0.0,100
R2_bearing_holdout,K004,S1_resample,96,,1.0,0.0,100
R2_bearing_holdout,K004,S2_new_records,10,,0.065,0.24261829354695486,100
R2_bearing_holdout,K004,S2_new_records,20,,0.052000000000000005,0.19252705437591536,100
R2_bearing_holdout,K004,S2_new_records,40,,0.1185,0.2946196829401552,100
R2_bearing_holdout,K004,S2_new_records,60,,0.396,0.4238281527108636,100
R2_bearing_holdout,K004,S2_new_records,80,,0.7645000000000001,0.38614221224933193,100
R2_bearing_holdout,K004,S2_new_records,96,,0.971,0.12168430756293398,100
R2_bearing_holdout,K004,S3_units,20,1.0,0.87,0.3379976689896311,100
R2_bearing_holdout,K004,S3_units,20,2.0,0.6855,0.456064356171031,100
R2_bearing_holdout,K004,S3_units,20,3.0,0.37200000000000005,0.47568769994481447,100
R2_bearing_holdout,K004,S3_units,20,4.0,0.153,0.3397726512617732,100
R2_bearing_holdout,K004,S3_units,20,5.0,0.007000000000000001,0.03761849963982502,100
R2_bearing_holdout,K005,S1_resample,10,,0.74,0.44084400227680814,100
R2_bearing_holdout,K005,S1_resample,20,,0.95,0.2190429135575903,100
R2_bearing_holdout,K005,S1_resample,40,,1.0,0.0,100
R2_bearing_holdout,K005,S1_resample,60,,1.0,0.0,100
R2_bearing_holdout,K005,S1_resample,80,,1.0,0.0,100
R2_bearing_holdout,K005,S1_resample,96,,1.0,0.0,100
R2_bearing_holdout,K005,S2_new_records,10,,0.2995,0.4352808799435653,100
R2_bearing_holdout,K005,S2_new_records,20,,0.27899999999999997,0.34780553024454186,100
R2_bearing_holdout,K005,S2_new_records,40,,0.541,0.37855253294888963,100
R2_bearing_holdout,K005,S2_new_records,60,,0.645,0.2895921897490269,100
R2_bearing_holdout,K005,S2_new_records,80,,0.6975,0.2490765774097224,100
R2_bearing_holdout,K005,S2_new_records,96,,0.6940000000000001,0.20141920705259708,100
R2_bearing_holdout,K005,S3_units,20,1.0,0.8425,0.3007041399747928,100
R2_bearing_holdout,K005,S3_units,20,2.0,0.7434999999999999,0.36422430373925274,100
R2_bearing_holdout,K005,S3_units,20,3.0,0.5435,0.42703198139169046,100
R2_bearing_holdout,K005,S3_units,20,4.0,0.5770000000000001,0.3828006839549319,100
R2_bearing_holdout,K005,S3_units,20,5.0,0.36950000000000005,0.38031718553881,100
R2_bearing_holdout,K006,S1_resample,10,,0.7095,0.3018206538173077,100
R2_bearing_holdout,K006,S1_resample,20,,0.7775,0.1883440597642646,100
R2_bearing_holdout,K006,S1_resample,40,,0.8759999999999999,0.0773552737946055,100
R2_bearing_holdout,K006,S1_resample,60,,0.8775,0.06903922176135925,100
R2_bearing_holdout,K006,S1_resample,80,,0.8745,0.05795112883571231,100
R2_bearing_holdout,K006,S1_resample,96,,0.8465,0.06899531531454532,100
