arm,held_out,n_train,k_bearings,test_fp,dataset,rule
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.55,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.06666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.48333333333333334,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.2,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.11666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.6166666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.08333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.23333333333333334,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.06666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_1,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
