dataset,arm,n_train,k_bearings,mean_fp,sd_fp,folds,n,tag
PRONOSTIA,S3_units,16,16,0.036215144692206214,0.08959874988479445,17,2550,sensitivity
PRONOSTIA,S3_units,20,1,0.1772679987323341,0.23200181687579804,17,2550,sensitivity
XJTU-SY,S3_units,10,1,0.1500391167546709,0.2608971336988949,14,51,sensitivity
XJTU-SY,S3_units,11,1,0.0005952380952380952,0.00314970394174356,13,28,sensitivity
XJTU-SY,S3_units,11,11,0.06866161616161616,0.19696605920892943,12,360,sensitivity
XJTU-SY,S3_units,12,1,0.2621363584294265,0.4215727287162719,15,46,sensitivity
XJTU-SY,S3_units,12,12,0.051760230510230515,0.15385053705329974,13,1170,sensitivity
XJTU-SY,S3_units,14,14,0.06312626262626263,0.1631149416294767,15,450,sensitivity
XJTU-SY,S3_units,15,1,0.8179104831631786,0.254125737213976,13,40,sensitivity
XJTU-SY,S3_units,16,1,0.4724555305200467,0.4364818681522899,15,62,sensitivity
XJTU-SY,S3_units,20,1,0.5267253960730979,0.4208634337714011,15,1753,sensitivity
