dataset,arm,n_train,k_bearings,mean_fp,sd_fp,folds,n,tag
PRONOSTIA,S2_new_records,20,,0.03195240844211354,0.0814988844009291,17,850,main
PRONOSTIA,S2_new_records,60,,0.015633083876505457,0.037347688676511566,17,850,main
PRONOSTIA,S2_new_records,160,,0.011276816608996541,0.02980150284038175,17,850,main
PRONOSTIA,S3_units,16,16.0,0.03638131674486246,0.0884902736685951,17,850,main
PRONOSTIA,S3_units,20,1.0,0.17809890922407148,0.23104673191972158,17,850,main
PRONOSTIA,S3_units,20,4.0,0.054235175162076966,0.11506404109635078,17,850,main
XJTU-SY,S2_new_records,20,,0.05164102564102565,0.14735584795418433,13,650,main
XJTU-SY,S2_new_records,60,,0.035909090909090904,0.12598943613125044,13,650,main
XJTU-SY,S2_new_records,160,,0.013769230769230768,0.07625948509663556,13,650,main
XJTU-SY,S3_units,12,12.0,0.04923543123543123,0.13963754551646376,13,650,main
XJTU-SY,S3_units,20,1.0,0.5079209723522392,0.4101703895435016,13,650,main
XJTU-SY,S3_units,20,4.0,0.06730100386973702,0.19479317577510685,13,650,main
