dataset,condition,held_out,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.4166666666666667
PRONOSTIA,C1,Bearing1_1,1,20,0.4666666666666667
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.03333333333333333
PRONOSTIA,C1,Bearing1_1,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.6666666666666666
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.0
PRONOSTIA,C1,Bearing1_1,1,20,0.35
PRONOSTIA,C1,Bearing1_1,1,20,0.0
