dataset,condition,k_bearings,mean_fp,sd_fp,folds,n
PRONOSTIA,C1,1,0.16904761904761903,0.2388934634298599,7,350
PRONOSTIA,C1,2,0.07385714285714286,0.13494092439589309,7,350
PRONOSTIA,C1,3,0.05771428571428571,0.10447263428265913,7,350
PRONOSTIA,C1,4,0.046380952380952384,0.07635800758424663,7,350
PRONOSTIA,C2,1,0.21449482401656314,0.2461130533698369,7,350
PRONOSTIA,C2,2,0.09527950310559007,0.1824474019629909,7,350
PRONOSTIA,C2,3,0.07252587991718426,0.16604885025302474,7,350
PRONOSTIA,C2,4,0.058977225672877845,0.14014816284320428,7,350
PRONOSTIA,C3,1,0.1861217510259918,0.24291912932938295,3,150
PRONOSTIA,C3,2,0.047920048639610885,0.08291570590096936,3,150
XJTU-SY,35Hz12kN,1,0.57625,0.4442524492824631,4,200
XJTU-SY,35Hz12kN,2,0.17475000000000002,0.30428256092721134,4,200
XJTU-SY,35Hz12kN,3,0.14725,0.25702186423233986,4,200
XJTU-SY,37.5Hz11kN,1,0.5467932054468442,0.36277421607718663,4,200
XJTU-SY,37.5Hz11kN,2,0.30458527905158633,0.3465571002397854,4,200
XJTU-SY,37.5Hz11kN,3,0.1503030303030303,0.31163125110672657,4,200
XJTU-SY,40Hz10kN,1,0.5449495495495496,0.39611830909190837,5,250
XJTU-SY,40Hz10kN,2,0.2527945945945946,0.3612088118149837,5,250
XJTU-SY,40Hz10kN,3,0.0788,0.20018260294117327,5,250
XJTU-SY,40Hz10kN,4,0.08726666666666666,0.2068901175737143,5,250
