dataset,condition,held_out,detector,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.11666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.3
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.9
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.5333333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.48333333333333334
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.25
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.06666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.85
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.6
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.1
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.6666666666666666
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.6666666666666666
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.1
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.13333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.08333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.9166666666666666
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,1.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.9833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.7333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.95
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,1,20,0.0
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,1,20,0.5333333333333333
