detector,dataset,condition,k_bearings,mean_fp,sd_fp,folds,n
A_rms_3sigma,PRONOSTIA,C1,1,0.23690476190476192,0.3297454091246282,7,350
A_rms_3sigma,PRONOSTIA,C1,2,0.15980952380952382,0.2825087082497779,7,350
A_rms_3sigma,PRONOSTIA,C1,3,0.1381904761904762,0.26604253950917245,7,350
A_rms_3sigma,PRONOSTIA,C1,4,0.11833333333333333,0.25134388872212987,7,350
A_rms_3sigma,PRONOSTIA,C2,1,0.4023374741200828,0.4450944279407785,7,350
A_rms_3sigma,PRONOSTIA,C2,2,0.25941821946169774,0.4050709520165653,7,350
A_rms_3sigma,PRONOSTIA,C2,3,0.2130144927536232,0.3833023882368526,7,350
A_rms_3sigma,PRONOSTIA,C2,4,0.1516190476190476,0.3326409920062821,7,350
A_rms_3sigma,PRONOSTIA,C3,1,0.43067973856209146,0.4313185843972313,3,150
A_rms_3sigma,PRONOSTIA,C3,2,0.19915686274509803,0.29104625266768325,3,150
A_rms_3sigma,XJTU-SY,35Hz12kN,1,0.495,0.48206528051018865,4,200
A_rms_3sigma,XJTU-SY,35Hz12kN,2,0.28300000000000003,0.4149359701164535,4,200
A_rms_3sigma,XJTU-SY,35Hz12kN,3,0.18899999999999997,0.32828012305952936,4,200
A_rms_3sigma,XJTU-SY,37.5Hz11kN,1,0.4750943396226415,0.47945927528427024,4,200
A_rms_3sigma,XJTU-SY,37.5Hz11kN,2,0.345,0.4765611742093758,4,200
A_rms_3sigma,XJTU-SY,37.5Hz11kN,3,0.25,0.43409931012992453,4,200
A_rms_3sigma,XJTU-SY,40Hz10kN,1,0.4445801801801802,0.4732579809253525,5,250
A_rms_3sigma,XJTU-SY,40Hz10kN,2,0.3316810810810811,0.4516107847696537,5,250
A_rms_3sigma,XJTU-SY,40Hz10kN,3,0.2048,0.3575869596824523,5,250
A_rms_3sigma,XJTU-SY,40Hz10kN,4,0.13,0.26082969254679617,5,250
B_mahalanobis,PRONOSTIA,C1,1,0.6683333333333333,0.35424103101526727,7,350
B_mahalanobis,PRONOSTIA,C1,2,0.46599999999999997,0.31311591961273944,7,350
B_mahalanobis,PRONOSTIA,C1,3,0.35742857142857143,0.28406482988911796,7,350
B_mahalanobis,PRONOSTIA,C1,4,0.2745238095238095,0.2518527561836266,7,350
B_mahalanobis,PRONOSTIA,C2,1,0.7630351966873706,0.3273050762876797,7,350
B_mahalanobis,PRONOSTIA,C2,2,0.49054865424430644,0.3911809683978196,7,350
B_mahalanobis,PRONOSTIA,C2,3,0.41040786749482405,0.38821306338231903,7,350
B_mahalanobis,PRONOSTIA,C2,4,0.31504140786749485,0.3642245434115116,7,350
B_mahalanobis,PRONOSTIA,C3,1,0.8983827329381364,0.22520411324284714,3,150
B_mahalanobis,PRONOSTIA,C3,2,0.4571181030551756,0.3833432094422881,3,150
B_mahalanobis,XJTU-SY,35Hz12kN,1,1.0,0.0,4,200
B_mahalanobis,XJTU-SY,35Hz12kN,2,0.938,0.20176607182252784,4,200
B_mahalanobis,XJTU-SY,35Hz12kN,3,0.7502500000000001,0.37652528994723483,4,200
B_mahalanobis,XJTU-SY,37.5Hz11kN,1,0.8603388525221409,0.2939616087204028,4,200
B_mahalanobis,XJTU-SY,37.5Hz11kN,2,0.7111031959953793,0.39286941963935956,4,200
B_mahalanobis,XJTU-SY,37.5Hz11kN,3,0.5369965344628418,0.47101785767035376,4,200
B_mahalanobis,XJTU-SY,40Hz10kN,1,0.8468468468468469,0.3319788265826047,5,250
B_mahalanobis,XJTU-SY,40Hz10kN,2,0.7593585585585586,0.35889659778421207,5,250
B_mahalanobis,XJTU-SY,40Hz10kN,3,0.5016072072072072,0.39755883393815766,5,250
B_mahalanobis,XJTU-SY,40Hz10kN,4,0.3114972972972973,0.28588281557284434,5,250
