file,pages,title_guess,year,doi,venue_guess,snippet
1-s2.0-S0019057826003836-main.pdf,16,Practice article,2026,10.1016/j.isatra.2026.07.017,,"Practice article Hyper-opinion dual branch evidential deep learning with distance perception method for open set fault diagnosis Peng Han a , Zhiqiu Huang a,b,c,*, Weiwei Li a,b,c, Wei He d, You Cao e a Nanjing University of Aeronautics and Astronautics, Nanjing 211100, China b Key Laboratory of Safety-Critical Software Development and Verification, Ministry of Industry and Information Technology, Nanjing 211100, China c Collaborative Innovation Center of Novel Software Technology and Industrialization, Nanjing 211100, China d Harbin Normal University, Harbin 150025, China e High-tech Institute, Fan Gong-ting South Street on the 12th, Qing Zhou 262500, China ARTICLE INFO Keywords: Open set fault diagnosis Evidence theory Evidential deep learning Uncertainty estimation ABSTRACT Accurate fault diagnosis is critical to ensuring the reliable operation of equipment. However, traditional deep learning methods typically rely on a predefined set of known fault types, limiting their ability to identify un- known faults. Thus, this paper proposes an open set fault diagnosis method based on Hyper-opinion Dual Branch Evidential Deep Learning with Distance Perception (HDEDL-DP). Firstly, a dual"
1-s2.0-S0360544226013897-main.pdf,19,Calibration study of data-driven fault diagnosis models for complex,2026,10.1016/j.energy.2026.141283,,"Calibration study of data-driven fault diagnosis models for complex industrial systems: A case study of nuclear power plant Jiahao Cheng a,b, Jiangkuan Li a,b,*, Jiaoshen Xu c, Meng Lin d, Sichao Tan a,b, Ruifeng Tian a,b a State Key Laboratory of Marine Thermal Energy and Power, Harbin Engineering University, Harbin, China b College of Nuclear Science and Technology, Harbin Engineering University, Harbin, China c State Key Laboratory of Nuclear Power Safety Technology and Equipment, China Nuclear Power Engineering Co., Ltd., Shenzhen, Guangdong, China d Key Laboratory of Nuclear Power Systems and Equipment (Shanghai Jiao Tong University), Ministry of Education, China ARTICLE INFO Keywords: Model calibration Nuclear power plant Data-driven fault diagnosis Sample imbalance Domain drift Unknown faults ABSTRACT Although deep learning has emerged as a prominent paradigm for data-driven fault diagnosis, offering high efficiency and strong diagnostic capability, its deployment in safety-critical industrial applications is still limited by the lack of reliable model calibration. Specifically, data-driven fault diagnosis models often exhibit pervasive overconfidence when handling high-dime"
1-s2.0-S0378779626006668-main.pdf,18,Transformer fault diagnosis with adaptive feature selection and,2026,10.1016/j.epsr.2026.113373,,"Transformer fault diagnosis with adaptive feature selection and cost-sensitive reinforcement learning Wenbin Gu * , Nuandong Li , Junhao Tao , Feiyang Zhu , Yushang Cao , Minye Zou , Minghai Yuan Department of Mechanical and Electrical Engineering, Hohai University, Changzhou, 213022, China ARTICLE INFO Keywords: Transformer fault diagnosis Dissolved gas analysis Misclassification cost modeling Cost-sensitive reinforcement learning Adaptive feature selection ABSTRACT Transformer fault diagnosis based on dissolved gas analysis (DGA) provides important support for safe power system operation and maintenance decision-making. However, most existing DGA diagnosis methods remain accuracy-oriented. In practical operation and maintenance, different diagnostic errors are not equivalent. Existing studies mainly focus on false alarms and missed alarms between normal and faulty states, while the differentiated risks caused by misclassification among fault types remain insufficiently modeled. DGA diagnosis should not only optimize classification accuracy, but also avoid high-risk misclassification paths. To address this issue, this paper proposes a transformer fault diagnosis framework guided b"
1-s2.0-S0950705126008166-main.pdf,14,Contents lists available at ScienceDirect,2026,10.1016/j.knosys.2026.116090,,"Contents lists available at ScienceDirect Knowledge-Based Systems journal homepage: www.elsevier.com/locate/knosys Incremental open-set evidential reasoning for uncertainty-aware fault diagnosis in rotating machineryI Haiyue Fu a , Qian Wang b, Chaoyu Gong c, Zhi-gang Su a,∗ a School of Energy and Environment, Southeast University, Nanjing, 211102, Jiangsu, China b School of Energy and Power, Jiangsu University of Science and Technology, Zhenjiang, 212100, Jiangsu, China c College of Computing and Data Science, Nanyang Technological University, 639798, Singapore A R T I C L E I N F O Keywords: Rotating machinery Fault diagnosis Open-set recognition Dempster–Shafer theory Uncertainty estimation A B S T R A C T Open-set fault diagnosis must not only detect previously unseen faults but also adapt to newly emerging variants of known faults during operation. Without timely adaptation, distributional drift can undermine diagnostic reliability, whereas frequent retraining may destabilize decision boundaries. To address these challenges, we propose an Incremental Open-Set Evidence Reasoning Framework (IOS-ERF). The framework first assigns evidential masses based on local neighbor distances"
1-s2.0-S0967066126003229-main.pdf,16,Contents lists available at ScienceDirect,2026,10.1016/j.conengprac.2026.107078,Measurement,"Contents lists available at ScienceDirect Control Engineering Practice journal homepage: www.elsevier.com/locate/conengprac Data-driven distribution-free prediction interval strategies for robust fault detection in lithium-ion batteries Mario Luca Fravolini ∗, Francesco Ferrante, Paolo Carbone , Alessio De Angelis Dipartimento di Ingegneria, Università di Perugia, Via G. Duranti 93, Perugia, 06131, Italy a r t i c l e i n f o Keywords: Online fault detection Lithium-ion battery Uncertainty quantiﬁcation Prediction interval Conformal prediction Coverage tracking System identiﬁcation Long-term degradation a b s t r a c t Abstract-A major limitation of many data-driven fault diagnosis schemes for lithium-ion batteries is the lack of systematic uncertainty quantiﬁcation methods. This makes the reliability of the resulting data-driven diagnostic schemes diﬃcult to assess. This work investigates the use of uncertainty quantiﬁcation methods based on Predic- tion Intervals (PIs) for real-time fault diagnosis. Ten PI methods are analyzed, including both static and adaptive approaches which adjust the PI interval online using feedback information from incoming measurements. PIs are built aro"
1-s2.0-S1270963826021346-main.pdf,11,Contents lists available at ScienceDirect,2027,10.1016/j.ast.2026.113758,,"Contents lists available at ScienceDirect Aerospace Science and Technology journal homepage: www.elsevier.com/locate/aescte Uncertainty-aware selective fault diagnosis of helicopter main gearboxes using category-wise Beta evidential learning Fanwei Lin a,b, Shuyan Gu a,b, Zhibin Zhao a,b, Xingwu Zhang a,b,∗, Xuefeng Chen a,b a National Key Lab Aerospace Power System and Plasma Technology, Xi’an Jiaotong University, Xi’an, 710049, PR China b School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, PR China a r t i c l e i n f o Communicated by Dr Pooneh Aref Keywords: Uncertainty quantiﬁcation Fault diagnosis Trustworthy artiﬁcial intelligence Evidential learning Selective classiﬁcation a b s t r a c t Helicopter main gearbox fault-diagnosis systems are safety-critical and often face unreliable decisions under operating-condition variations and unknown fault patterns. In such monitoring scenarios, ﬁxed-length vibration windows may contain weak fault signatures, unknown faults, or cross-condition shifts, making Softmax-based diagnostic networks prone to overconﬁdent decisions. Although evidential deep learning provides evidence- based uncertainty estimation, existi"
1.pdf,14,Reducing false alarms in fault detection: A comparative analysis between,2025,10.1016/j.jprocont.2025.103495,Machines,"Reducing false alarms in fault detection: A comparative analysis between conformal prediction and classical methods applied to PCA and autoencoders Abdoul Rahime Diallo * , Lazhar Homri , Jean-Yves Dantan Arts et Metiers Institute of Technology, Universit´e de Lorraine, LCFC, Metz, France ARTICLE INFO Keywords: Fault detection Threshold setting Conformal prediction False alarm rate control Tennessee Eastman process ABSTRACT Setting detection thresholds in data-driven fault detection is a critical challenge, particularly in ensuring a reliable balance between false alarm rate and fault detection capability. Although conformal prediction has been applied to various domains including medicine, finance, and the monitoring of physical systems, its use in in- dustrial fault detection remains underexplored. This study compares conformal prediction methods with classical threshold-setting techniques used in Principal Component Analysis (PCA) and Autoencoder (AE) based fault detection, using extensive experiments on the Tennessee Eastman Process (TEP). The analysis considers conformal prediction strategies, with marginal and conditional validity alongside traditional parametric ap- proaches"
3.pdf,17,Conformal machine learning for reliable anomaly detection in industrial,2026,10.1016/j.ress.2026.112417,Reliability Engineering,"Conformal machine learning for reliable anomaly detection in industrial cyber-physical systems Shuaiqi Yuan a , Jipu Li a, Chunjin Wang a , Xiaoge Zhang a,b,* a Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong Special Administrative Region of China b State Key Laboratory of Ultra-precision Machining Technology, Department of Industrial and Systems Engineering, The Hong Kong Polytechnic University, Hong Kong Special Administrative Region of China ARTICLE INFO Keywords: Anomaly detection Industrial cyber-physical systems Deep learning Conformal prediction Trustworthy AI Uncertainty quantification Safety and security ABSTRACT Although machine learning (ML) and deep learning (DL) methods are increasingly used for anomaly detection in industrial cyber-physical systems, their adoption is hindered by concerns about model trustworthiness, especially high false alarm rates (FARs). Excessive false alarms overwhelm operators, cause unnecessary shutdowns, and reduce operational efficiency. This study addresses these challenges by proposing a novel framework that in- tegrates ML-based anomaly detectors with conformal prediction (CP), a model-agno"
4.pdf,24,Contents lists available at ScienceDirect,2026,10.1016/j.jprocont.2026.103701,Measurement,"Contents lists available at ScienceDirect Journal of Process Control journal homepage: www.elsevier.com/locate/jprocont Class-conditional conformal prediction with discriminant-analysis backbones for reliable open-set fault diagnosis in safety-critical industrial systems Amine Heddoub a, Lazhar Homri a,∗, Ali Siadat a,b a Arts et Metiers Institute of Technology, Université de Lorraine, LCFC, F-57070 Metz, France b Arts et Metiers Campus of Rabat, Research Center S3I, Rabat, Morocco A R T I C L E I N F O Keywords: Conformal prediction Fault diagnosis Discriminant analysis Uncertainty quantification Open-set recognition A B S T R A C T Industrial fault diagnosis in safety-critical systems demands uncertainty quantification mechanisms and the ability to detect unknown faults. While uncertainty quantification for fault diagnosis has been studied, most approaches do not provide a mathematical coverage guarantee and do not explicitly model rejection of samples outside the known fault set under open-set conditions. Our framework produces prediction sets rather than single label classifications, naturally quantifying uncertainty and enabling transparent decision making. We combine Mondrian"
7.pdf,18,Measuring predictive reliability under temporal class-prior drift: A forward,2026,10.1016/j.measurement.2026.121884,Measurement,"Measuring predictive reliability under temporal class-prior drift: A forward cohort-based evaluation framework with application to student retention prediction Andy Prasetyo Utomo a,d,* , Purwanto Purwanto a,b, Bayu Surarso a,c a Doctoral Program in Information System, School of Postgraduate Studies, Diponegoro University, Semarang, Indonesia b Department of Chemical Engineering, Faculty of Engineering, Diponegoro University, Semarang, Indonesia c Department of Mathematics, Faculty of Science and Mathematics, Diponegoro University, Semarang, Indonesia d Department of Information System, Faculty of Engineering, Muria Kudus University, Kudus, Indonesia ARTICLE INFO Keywords: Predictive reliability Forward temporal evaluation Temporal distribution shift Generalization instability Probability calibration Student retention prediction ABSTRACT Evaluating predictive reliability under temporally evolving data distributions remains a critical measurement challenge in real-world machine learning systems. In educational contexts, student populations change over time, introducing temporal class-prior drift and generalization instability that are often overlooked by conven- tional evaluation pr"
